"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Университет","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"4971",NA,"Software Engineer","C++","","2","меньше 3 месяцев",2800,800,"Львов","до 1000 человек","Аутстаффинговая","мужской",21,"Высшее","ЛНУ им. Франко","True","выше среднего","Desktop Applications,Системное программирование","30/12/2015 12:11:13","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36",2,0,"Львов",2800,NA,"DEV"
"4972",NA,"Project manager","","","4","4",2600,0,"Киев","до 50 человек","Продуктовая","мужской",26,"Два высших","КНЭУ","False","выше среднего","iOS,Веб-разработка","30/12/2015 12:11:48","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7",4,4,"Киев",2600,NA,"PM"
"4973",NA,"System Architect","C#/.NET","","10 и более лет","1.5",3900,400,"Киев","до 1000 человек","Аутсорсинговая","мужской",40,"Высшее","Другой вуз","False","продвинутый","Корпоративные системы","30/12/2015 12:18:31","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",10,1.5,"Киев",3900,NA,"SDEV"
"4974",NA,"Senior QA engineer","","General QA","2","2",600,100,"Другой","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","НметАУ","False","средний","Веб-разработка","30/12/2015 12:34:25","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,2,"other",600,NA,"QA"
"4975",NA,"QA engineer","","Manual QA","2","1.5",380,0,"Другой","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","Другой вуз","False","средний","Веб-разработка,eCommerce","30/12/2015 12:35:53","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,1.5,"other",380,NA,"QA"
"4976",NA,"Software Engineer","Java","","2","2",2190,700,"Киев","до 10 человек","Продуктовая","мужской",22,"Незаконченное высшее","НТУУ «КПИ»","True","выше среднего","Финансы и банки,Корпоративные системы","30/12/2015 12:36:18","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,2,"Киев",2190,NA,"DEV"
"4977",NA,"Junior Software Engineer","JavaScript","","1.5","меньше 3 месяцев",1500,1000,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",20,"Высшее","НТУУ «КПИ»","True","ниже среднего","Веб-разработка","30/12/2015 12:45:07","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36",1.5,0,"Киев",1500,NA,"DEV"
"4978",NA,"Software Engineer","C++","","3","2",1200,550,"Запорожье","до 10 человек","Аутстаффинговая","мужской",23,"Высшее","Другой вуз","False","средний","Desktop Applications,Мультимедиа","30/12/2015 12:49:18","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",3,2,"other",1200,NA,"DEV"
"4979",NA,"Junior Software Engineer","Python","","0.25","0.25",540,0,"Киев","до 10 человек","Продуктовая","мужской",19,"Незаконченное высшее","НТУУ «КПИ»","True","выше среднего","Веб-разработка","30/12/2015 12:55:17","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/47.0.2526.73 Chrome/47.0.2526.73 Safari/537.36",0.25,0.25,"Киев",540,NA,"DEV"
"4980",NA,"Software Engineer","Delphi","","3","3",232,-65,"Другой","до 200 человек","Другая","мужской",24,"Высшее","Другой вуз","False","средний","Desktop Applications,Другое","30/12/2015 12:55:36","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,3,"other",232,NA,"DEV"
"4981",NA,"Software Engineer","Java","","3","0.25",2000,700,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",23,"Высшее","НаУКМА","False","выше среднего","Веб-разработка,Корпоративные системы","30/12/2015 12:56:16","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,0.25,"Киев",2000,NA,"DEV"
"4982",NA,"Technical Lead","Scala","","10 и более лет","2",4000,300,"Днепр.","до 50 человек","Продуктовая","мужской",28,"Высшее","Другой вуз","False","выше среднего","Веб-разработка,eCommerce","30/12/2015 12:58:08","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",10,2,"Днепр.",4000,NA,"SDEV"
"4983",NA,"Technical Lead","C++","","10 и более лет","5",3200,300,"Одесса","свыше 1000 человек","Аутсорсинговая","мужской",37,"Высшее","ОНПУ","False","продвинутый","Embedded,Мультимедиа","30/12/2015 13:00:42","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",10,5,"Одесса",3200,NA,"SDEV"
"4984",NA,"Sysadmin","","","6","2",1000,50,"Львов","до 1000 человек","Продуктовая","мужской",28,"Высшее","СумГУ","False","средний","Телекоммуникации,Корпоративные системы","30/12/2015 13:04:41","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.48 Safari/537.36",6,2,"Львов",1000,NA,""
"4985",NA,"Senior Software Engineer","PHP","","10 и более лет","10 и более лет",4200,400,"Днепр.","до 10 человек","Продуктовая","мужской",39,"Высшее","ДНУЖТ","False","ниже среднего","Веб-разработка,eCommerce","30/12/2015 13:08:54","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",10,10,"Днепр.",4200,NA,"DEV"
"4986",NA,"Junior Software Engineer","C++","","3","3",1200,0,"Киев","до 1000 человек","Продуктовая","мужской",29,"Высшее","Другой вуз","False","ниже среднего","Android,Embedded","30/12/2015 13:09:59","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36 OPR/34.0.2036.25",3,3,"Киев",1200,NA,"DEV"
"4987",NA,"Software Engineer","C++","","4","3",1100,200,"Другой","до 1000 человек","Аутстаффинговая","мужской",33,"Незаконченное высшее","Другой вуз","True","выше среднего","Desktop Applications,Другое","30/12/2015 13:11:37","Mozilla/5.0 (Linux; Android 4.2.2; H30-U10 Build/HuaweiH30-U10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36",4,3,"other",1100,NA,"DEV"
"4988",NA,"Software Engineer","JavaScript","","5","5",1750,150,"Харьков","до 50 человек","Аутсорсинговая","мужской",28,"Высшее","ХНУРЭ","False","элементарный","Веб-разработка,eCommerce","30/12/2015 13:12:50","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,5,"Харьков",1750,NA,"DEV"
"4989",NA,"Software Engineer","JavaScript","","1.5","1.5",1400,600,"Киев","до 50 человек","Аутсорсинговая","мужской",24,"Высшее","НТУУ «КПИ»","False","выше среднего","","30/12/2015 13:13:19","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",1.5,1.5,"Киев",1400,NA,"DEV"
"4990",NA,"QA engineer","","Manual QA","2","2",1400,300,"Одесса","до 1000 человек","Аутстаффинговая","мужской",25,"Высшее","ОНАС","False","средний","Desktop Applications","30/12/2015 13:13:54","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",2,2,"Одесса",1400,NA,"QA"
"4991",NA,"Project manager","","","4","1.5",2688,300,"Харьков","до 1000 человек","Аутсорсинговая","мужской",27,"Высшее","ХНУ им. Каразина","False","продвинутый","Веб-разработка,Корпоративные системы","30/12/2015 13:16:33","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,1.5,"Харьков",2688,NA,"PM"
"4992",NA,"Software Engineer","PHP","","5","0.5",600,-400,"Киев","до 10 человек","Другая","мужской",23,"Техникум / Колледж","","False","средний","Веб-разработка","30/12/2015 13:23:52","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,0.5,"Киев",600,NA,"DEV"
"4993",NA,"Senior Software Engineer","JavaScript","","2","2",3000,1000,"Харьков","до 50 человек","Аутстаффинговая","мужской",32,"Высшее","Другой вуз","False","средний","Веб-разработка","30/12/2015 13:25:08","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36",2,2,"Харьков",3000,NA,"DEV"
"4994",NA,"Senior Software Engineer","Scala","","4","1",4000,0,"Киев","до 10 человек","Стартап","мужской",24,"Высшее","НТУУ «КПИ»","False","продвинутый","eCommerce","30/12/2015 13:26:02","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",4,1,"Киев",4000,NA,"DEV"
"4995",NA,"DevOps","","","5","2",3300,300,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",35,"Два высших","НАУ","False","выше среднего","eCommerce","30/12/2015 13:31:12","Mozilla/5.0 (Linux; Android 4.4.4; XT1080 Build/SU6-7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36",5,2,"Киев",3300,NA,"ADM"
"4996",NA,"Senior Software Engineer","PHP","","5","5",1500,500,"Житомир","до 50 человек","Аутсорсинговая","мужской",26,"Два высших","ЖГТУ","False","средний","Веб-разработка,eCommerce","30/12/2015 13:38:29","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",5,5,"other",1500,NA,"DEV"
"4997",NA,"QA Tech Lead","","Manual QA","3","2",2400,400,"Киев","до 50 человек","Продуктовая","мужской",31,"Техникум / Колледж","","False","выше среднего","Веб-разработка","30/12/2015 13:50:14","Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1",3,2,"Киев",2400,NA,"QA"
"4998",NA,"Junior Software Engineer","Java","","меньше 3 месяцев","меньше 3 месяцев",500,150,"Киев","до 1000 человек","Продуктовая","мужской",28,"Высшее","КНУТД","False","средний","Gamedev","30/12/2015 13:50:47","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",0,0,"Киев",500,NA,"DEV"
"4999",NA,"Support","","","10 и более лет","6",150,-50,"Другой","до 200 человек","Аутсорсинговая","мужской",40,"Высшее","Другой вуз","False","элементарный","Финансы и банки","30/12/2015 13:54:33","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",10,6,"other",150,NA,""
"5000",NA,"Junior Software Engineer","JavaScript","","0.5","0.5",550,150,"Киев","до 200 человек","Аутсорсинговая","мужской",41,"Высшее","Другой вуз","False","средний","Веб-разработка","30/12/2015 14:05:23","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",0.5,0.5,"Киев",550,NA,"DEV"
"5001",NA,"Software Engineer","PHP","","10 и более лет","2",2800,300,"Киев","до 200 человек","Продуктовая","мужской",42,"Высшее","ДонНТУ","False","ниже среднего","Веб-разработка,Корпоративные системы","30/12/2015 14:06:33","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/47.0.2526.73 Chrome/47.0.2526.73 Safari/537.36",10,2,"Киев",2800,NA,"DEV"
"5002",NA,"Designer","","","7","0.5",2000,500,"Киев","до 50 человек","Продуктовая","мужской",25,"Высшее","Другой вуз","False","средний","Веб-разработка","30/12/2015 14:12:07","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",7,0.5,"Киев",2000,NA,""
"5003",NA,"Senior Project Manager / Program Manager","","","10 и более лет","3",3400,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",41,"Высшее","ХНУРЭ","False","выше среднего","Веб-разработка,Корпоративные системы","30/12/2015 14:18:10","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",10,3,"Киев",3400,NA,"SPM"
"5004",NA,"Junior QA engineer","","Manual QA","0.5","0.5",150,0,"Киев","до 50 человек","Другая","мужской",22,"Высшее","Другой вуз","False","средний","Desktop Applications","30/12/2015 14:30:31","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",0.5,0.5,"Киев",150,NA,"QA"
"5005",NA,"Software Engineer","SQL","","3","2",500,80,"Киев","до 50 человек","Продуктовая","женский",28,"Высшее","НТУУ «КПИ»","False","средний","Финансы и банки","30/12/2015 14:36:24","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,2,"Киев",500,NA,"DEV"
"5006",NA,"QA engineer","","Manual QA","меньше 3 месяцев","меньше 3 месяцев",450,0,"Киев","до 200 человек","Продуктовая","мужской",24,"Высшее","Другой вуз","False","средний","Gamedev","30/12/2015 14:36:42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",0,0,"Киев",450,NA,"QA"
"5007",NA,"Senior QA engineer","","General QA","4","0.5",2000,1000,"Харьков","до 50 человек","Продуктовая","мужской",28,"Высшее","НТУ «ХПИ»","False","средний","Веб-разработка,eCommerce","30/12/2015 14:41:02","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36",4,0.5,"Харьков",2000,NA,"QA"
"5008",NA,"Senior Software Engineer","C#/.NET","","4","меньше 3 месяцев",3000,900,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","ЖГТУ","False","средний","Веб-разработка","30/12/2015 14:48:44","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,0,"Киев",3000,NA,"DEV"
"5009",NA,"Software Engineer","Java","","1","1",1700,700,"Киев","до 1000 человек","Продуктовая","мужской",27,"Два высших","НТУУ «КПИ»","False","ниже среднего","Веб-разработка,eCommerce","30/12/2015 14:50:10","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",1,1,"Киев",1700,NA,"DEV"
"5010",NA,"Software Engineer","C#/.NET","","3","2",1950,190,"Днепр.","до 200 человек","Аутстаффинговая","мужской",25,"Высшее","ДНУ им. Гончара","False","выше среднего","Desktop Applications,Веб-разработка","30/12/2015 14:51:15","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,2,"Днепр.",1950,NA,"DEV"
"5011",NA,"HR","","","5","4",1400,500,"Харьков","до 50 человек","Аутсорсинговая","мужской",28,"Высшее","ХНУ им. Каразина","False","средний","","30/12/2015 14:52:04","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,4,"Харьков",1400,NA,""
"5012",NA,"Team lead","","","7","0.5",4300,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",29,"Высшее","НТУУ «КПИ»","False","выше среднего","Веб-разработка,eCommerce","30/12/2015 14:52:44","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",7,0.5,"Киев",4300,NA,"PM"
"5013",NA,"Senior Software Engineer","Ruby/Rails","","8","5",2700,150,"Львов","до 50 человек","Другая","мужской",30,"Высшее","Львовская Политехника","False","средний","Веб-разработка","30/12/2015 15:01:31","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 6 Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36",8,5,"Львов",2700,NA,"DEV"
"5014",NA,"Technical Lead","C#/.NET","","10 и более лет","4",5000,0,"Одесса","до 1000 человек","Аутстаффинговая","мужской",33,"Высшее","Другой вуз","False","продвинутый","Веб-разработка","30/12/2015 15:07:43","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",10,4,"Одесса",5000,NA,"SDEV"
"5015",NA,"Junior Software Engineer","C++","","0.25","меньше 3 месяцев",2000,0,"Другой","до 10 человек","Аутстаффинговая","мужской",21,"Высшее","КНУ им. Шевченко","True","средний","Финансы и банки","30/12/2015 15:16:38","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",0.25,0,"other",2000,NA,"DEV"
"5016",NA,"Designer","","","3","1",2500,1000,"Киев","до 200 человек","Продуктовая","мужской",20,"Среднее","","False","средний","","30/12/2015 15:18:40","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.5 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.5",3,1,"Киев",2500,NA,""
"5017",NA,"Designer","","","1","1",240,50,"Днепр.","до 10 человек","Другая","женский",23,"Высшее","ДНУ им. Гончара","False","средний","Веб-разработка","30/12/2015 15:20:34","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",1,1,"Днепр.",240,NA,""
"5018",NA,"Sysadmin","","","8","1.5",260,40,"Полтава","до 10 человек","Продуктовая","мужской",27,"Высшее","Другой вуз","False","элементарный","Финансы и банки,Корпоративные системы","30/12/2015 15:20:55","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",8,1.5,"other",260,NA,""
"5019",NA,"Senior QA engineer","","Automation QA","4","0.5",3000,300,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",29,"Высшее","НАУ","False","выше среднего","","30/12/2015 15:23:25","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,0.5,"Киев",3000,NA,"QA"
"5020",NA,"QA engineer","","Manual QA","3","0.5",1400,700,"Харьков","свыше 1000 человек","Аутсорсинговая","женский",29,"Высшее","Другой вуз","False","продвинутый","Веб-разработка,eCommerce","30/12/2015 15:23:46","Mozilla/5.0 (Linux; Android 5.0.2; LG-D410 Build/LRX22G.A1439780618) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36",3,0.5,"Харьков",1400,NA,"QA"
"5021",NA,"Software Engineer","JavaScript","","4","1.5",2000,0,"Одесса","до 200 человек","Аутстаффинговая","мужской",41,"Высшее","ОНПУ","False","ниже среднего","Desktop Applications,Веб-разработка","30/12/2015 15:24:44","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/47.0.2526.73 Chrome/47.0.2526.73 Safari/537.36",4,1.5,"Одесса",2000,NA,"DEV"
"5022",NA,"QA engineer","","Manual QA","4","4",1962,347,"Львов","до 1000 человек","Аутсорсинговая","мужской",27,"Высшее","Львовская Политехника","False","продвинутый","iOS,Корпоративные системы","30/12/2015 15:46:55","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,4,"Львов",1962,NA,"QA"
"5023",NA,"Senior Software Engineer","JavaScript","","3","1.5",2400,200,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","ЖГТУ","False","выше среднего","Веб-разработка,Корпоративные системы","30/12/2015 15:50:12","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,1.5,"Киев",2400,NA,"DEV"
"5024",NA,"HTML coder","","","1.5","0.5",200,0,"Львов","до 50 человек","Аутсорсинговая","мужской",20,"Техникум / Колледж","","False","ниже среднего","Веб-разработка","30/12/2015 15:50:28","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",1.5,0.5,"Львов",200,NA,""
"5025",NA,"Product Manager","","","5","1",1000,1000,"Киев","до 200 человек","Продуктовая","мужской",27,"Два высших","Другой вуз","False","ниже среднего","iOS,Телекоммуникации","30/12/2015 15:55:56","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",5,1,"Киев",1000,NA,""
"5026",NA,"Designer","","","7","2",4000,400,"Киев","до 1000 человек","Аутсорсинговая","мужской",28,"Высшее","КНУ им. Шевченко","False","продвинутый","","30/12/2015 15:57:31","Mozilla/5.0 (Linux; Android 5.1.1; Nexus 4 Build/LMY48T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36",7,2,"Киев",4000,NA,""
"5027",NA,"Junior QA engineer","","Automation QA","3","3",1574,600,"Днепр.","до 50 человек","Аутсорсинговая","женский",24,"Высшее","ДНУ им. Гончара","False","выше среднего","Веб-разработка","30/12/2015 16:04:31","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,3,"Днепр.",1574,NA,"QA"
"5028",NA,"Software Engineer","C#/.NET","","4","3",1800,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","НТУУ «КПИ»","False","средний","Веб-разработка,Финансы и банки","30/12/2015 16:09:52","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,3,"Киев",1800,NA,"DEV"
"5029",NA,"QA engineer","","General QA","4","4",750,125,"Киев","до 50 человек","Другая","мужской",34,"Высшее","НТУУ «КПИ»","False","продвинутый","Телекоммуникации","30/12/2015 16:10:55","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",4,4,"Киев",750,NA,"QA"
"5030",NA,"Software Engineer","PHP","","5","меньше 3 месяцев",2000,1000,"Харьков","до 50 человек","Аутстаффинговая","мужской",27,"Техникум / Колледж","","False","элементарный","Веб-разработка,eCommerce","30/12/2015 16:24:08","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",5,0,"Харьков",2000,NA,"DEV"
"5031",NA,"Software Engineer","PHP","","5","1.5",1500,0,"Киев","до 200 человек","Аутсорсинговая","мужской",26,"Высшее","Другой вуз","False","средний","Веб-разработка","30/12/2015 16:33:26","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/44.0.2403.89 Chrome/44.0.2403.89 Safari/537.36",5,1.5,"Киев",1500,NA,"DEV"
"5032",NA,"Project manager","","","0.5","0.5",200,0,"Харьков","до 50 человек","Продуктовая","мужской",23,"Высшее","ХНУ им. Каразина","False","выше среднего","Другое","30/12/2015 16:36:56","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36",0.5,0.5,"Харьков",200,NA,"PM"
"5033",NA,"Team lead","","","5","2",4100,0,"Киев","до 200 человек","Продуктовая","мужской",31,"Высшее","НТУУ «КПИ»","False","выше среднего","Embedded","30/12/2015 16:40:07","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",5,2,"Киев",4100,NA,"PM"
"5034",NA,"DevOps","","","3","меньше 3 месяцев",2500,1000,"Харьков","до 200 человек","Продуктовая","мужской",26,"Высшее","ХНУРЭ","False","выше среднего","Корпоративные системы,Другое","30/12/2015 16:40:40","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0",3,0,"Харьков",2500,NA,"ADM"
"5035",NA,"HTML coder","","","2","1",200,0,"Днепр.","свыше 1000 человек","Стартап","мужской",27,"Высшее","НметАУ","False","средний","Desktop Applications,Веб-разработка","30/12/2015 16:40:59","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,1,"Днепр.",200,NA,""
"5036",NA,"Junior Software Engineer","C#/.NET","","1","1",750,450,"Харьков","до 200 человек","Аутсорсинговая","мужской",23,"Высшее","НТУ «ХПИ»","True","средний","Веб-разработка","30/12/2015 16:48:40","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",1,1,"Харьков",750,NA,"DEV"
"5037",NA,"Software Engineer","Objective-C","","1.5","0.5",1800,300,"Киев","до 200 человек","Продуктовая","мужской",26,"Высшее","НТУУ «КПИ»","False","средний","iOS","30/12/2015 16:53:03","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",1.5,0.5,"Киев",1800,NA,"DEV"
"5038",NA,"Junior Software Engineer","Java","","0.5","0.5",900,300,"Киев","до 1000 человек","Аутсорсинговая","мужской",28,"Среднее","","False","выше среднего","Embedded","30/12/2015 16:55:06","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.132 Safari/537.36",0.5,0.5,"Киев",900,NA,"DEV"
"5039",NA,"Junior QA engineer","","Manual QA","меньше 3 месяцев","меньше 3 месяцев",650,0,"Днепр.","до 1000 человек","Аутсорсинговая","мужской",31,"Высшее","НметАУ","False","ниже среднего","Desktop Applications,Другое","30/12/2015 16:59:00","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",0,0,"Днепр.",650,NA,"QA"
