"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"4434",NA,"Software Engineer","C#/.NET","","2.5","2.5",1231,400,"Севастополь","до 50 человек","Аутсорсинговая","мужской",24,"Высшее","False","выше среднего","","13/06/2014 10:41:05","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",2.5,2.5,"other",1231,NA,"DEV"
"4435",NA,"QA engineer","","General QA","1.5","0.75",1500,1600,"Киев","до 200 человек","Продуктовая","мужской",24,"Высшее","False","выше среднего","Веб-разработка","13/06/2014 11:00:06","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",1.5,0.75,"Киев",1500,NA,"QA"
"4436",NA,"QA engineer","","Manual QA","2","0.75",1500,700,"Киев","до 200 человек","Аутсорсинговая","мужской",23,"Высшее","False","выше среднего","Desktop Applications","13/06/2014 11:05:53","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0",2,0.75,"Киев",1500,NA,"QA"
"4437",NA,"Junior Software Engineer","C#/.NET","","0.5","1.5",600,50,"Львов","свыше 1000 человек","Продуктовая","мужской",27,"Высшее","False","средний","Веб-разработка","13/06/2014 11:10:57","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 OPR/22.0.1471.50",0.5,1.5,"Львов",600,NA,"DEV"
"4438",NA,"Software Engineer","C++","","2","2",1300,300,"Киев","до 1000 человек","Другая","мужской",25,"Высшее","False","выше среднего","Другое","13/06/2014 11:10:57","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",2,2,"Киев",1300,NA,"DEV"
"4439",NA,"Software Engineer","C","","3.5","1.5",1700,150,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","средний","Embedded,Телекоммуникации","13/06/2014 11:15:28","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36",3.5,1.5,"Львов",1700,NA,"DEV"
"4440",NA,"Software Engineer","C++","","6.5","меньше 3 месяцев",1200,-200,"Киев","до 10 человек","Стартап","мужской",29,"Высшее","False","элементарный","Desktop Applications","13/06/2014 11:20:02","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",6.5,0,"Киев",1200,NA,"DEV"
"4441",NA,"Project manager","","","10 и более лет","6",2470,100,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",28,"Высшее","False","выше среднего","Embedded","13/06/2014 11:34:28","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",10,6,"Львов",2470,NA,"PM"
"4442",NA,"Project manager","","","3","10 и более лет",3300,0,"Киев","до 10 человек","Аутсорсинговая","мужской",40,"Высшее","False","средний","Desktop Applications,Веб-разработка","13/06/2014 11:39:51","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",3,10,"Киев",3300,NA,"PM"
"4443",NA,"Technical Lead","Ruby/Rails","","8","4",3400,200,"Киев","до 50 человек","Аутсорсинговая","мужской",26,"Незаконченное высшее","False","продвинутый","Веб-разработка","13/06/2014 11:40:12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.76.4 (KHTML, like Gecko) Version/7.0.4 Safari/537.76.4",8,4,"Киев",3400,NA,"SDEV"
"4444",NA,"Junior Software Engineer","C#/.NET","","меньше 3 месяцев","меньше 3 месяцев",820,0,"Киев","до 50 человек","Аутстаффинговая","женский",25,"Высшее","False","ниже среднего","Веб-разработка,Корпоративные системы","13/06/2014 11:45:26","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",0,0,"Киев",820,NA,"DEV"
"4445",NA,"Senior Software Engineer","Java","","4","4",2200,400,"Львов","до 10 человек","Аутсорсинговая","мужской",25,"Высшее","False","продвинутый","Веб-разработка,Корпоративные системы","13/06/2014 11:46:41","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",4,4,"Львов",2200,NA,"DEV"
"4446",NA,"Junior Software Engineer","PHP","","2","2",1000,200,"Киев","до 200 человек","Аутсорсинговая","мужской",22,"Высшее","False","средний","Веб-разработка","13/06/2014 12:01:05","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",2,2,"Киев",1000,NA,"DEV"
"4447",NA,"Junior Software Engineer","C#/.NET","","1","0.5",500,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",20,"Высшее","False","выше среднего","Веб-разработка,Системное программирование","13/06/2014 12:07:29","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",1,0.5,"Киев",500,NA,"DEV"
"4448",NA,"Technical Lead","JavaScript","","6.5","1.75",3300,400,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",27,"Высшее","False","продвинутый","Веб-разработка","13/06/2014 12:07:54","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",6.5,1.75,"Киев",3300,NA,"SDEV"
"4449",NA,"Software Engineer","Java","","2.5","1",2800,800,"Киев","до 10 человек","Продуктовая","мужской",24,"Высшее","False","средний","Android","13/06/2014 12:44:09","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2041.4 Safari/537.36",2.5,1,"Киев",2800,NA,"DEV"
"4450",NA,"Software Engineer","PHP","","3","3",1800,500,"Харьков","до 50 человек","Аутсорсинговая","мужской",25,"Высшее","False","средний","Веб-разработка","13/06/2014 12:59:34","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",3,3,"Харьков",1800,NA,"DEV"
"4451",NA,"Senior Software Engineer","Java","","10 и более лет","0.75",3500,1000,"Харьков","до 10 человек","Аутстаффинговая","мужской",44,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","13/06/2014 13:08:00","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; InfoPath.3; .NET4.0E)",10,0.75,"Харьков",3500,NA,"DEV"
"4452",NA,"Software Engineer","Python","","3","0.5",2000,600,"Днепр.","до 200 человек","Продуктовая","мужской",23,"Высшее","False","ниже среднего","Веб-разработка,Финансы и банки","13/06/2014 13:16:06","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,0.5,"Днепр.",2000,NA,"DEV"
"4453",NA,"Software Engineer","Java","","1.75","0.5",1600,1000,"Киев","до 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Веб-разработка","13/06/2014 13:20:56","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",1.75,0.5,"Киев",1600,NA,"DEV"
"4454",NA,"Junior QA engineer","","General QA","1","меньше 3 месяцев",500,0,"Киев","до 1000 человек","Другая","женский",29,"Высшее","False","выше среднего","","13/06/2014 13:21:57","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",1,0,"Киев",500,NA,"QA"
"4455",NA,"QA engineer","","Automation QA","1.25","1.25",1100,100,"Днепр.","свыше 1000 человек","Другая","женский",23,"Высшее","False","средний","Веб-разработка","13/06/2014 13:29:11","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0",1.25,1.25,"Днепр.",1100,NA,"QA"
"4456",NA,"Бизнес-аналитик","","","3.5","1",800,-450,"Киев","до 1000 человек","Продуктовая","женский",24,"Высшее","False","продвинутый","Корпоративные системы","13/06/2014 13:33:58","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",3.5,1,"Киев",800,NA,""
"4457",NA,"Junior Software Engineer","PHP","","2","2",400,100,"Запорожье","до 10 человек","Другая","мужской",26,"Техникум / Колледж","False","ниже среднего","Веб-разработка","13/06/2014 13:43:58","Mozilla/5.0 (Windows NT 6.1; rv:29.0) Gecko/20100101 Firefox/29.0",2,2,"other",400,NA,"DEV"
"4458",NA,"QA engineer","","General QA","2.5","1.25",1200,700,"Харьков","до 200 человек","Аутсорсинговая","мужской",27,"Высшее","False","элементарный","eCommerce","13/06/2014 13:45:50","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",2.5,1.25,"Харьков",1200,NA,"QA"
"4459",NA,"QA engineer","","General QA","4","0.5",1000,0,"Киев","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","False","продвинутый","Desktop Applications,Веб-разработка","13/06/2014 13:52:11","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",4,0.5,"Киев",1000,NA,"QA"
"4460",NA,"Junior Software Engineer","PHP","","2.5","1.25",1200,200,"Днепр.","свыше 1000 человек","Другая","мужской",23,"Высшее","False","выше среднего","Финансы и банки","13/06/2014 14:03:46","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:29.0) Gecko/20100101 Firefox/29.0",2.5,1.25,"Днепр.",1200,NA,"DEV"
"4461",NA,"Junior Software Engineer","PHP","","2.5","0.25",700,300,"Днепр.","до 50 человек","Аутсорсинговая","мужской",22,"Высшее","False","ниже среднего","Веб-разработка","13/06/2014 14:19:45","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:30.0) Gecko/20100101 Firefox/30.0",2.5,0.25,"Днепр.",700,NA,"DEV"
"4462",NA,"Бизнес-аналитик","","","10 и более лет","0.25",3000,3000,"Киев","до 10 человек","Продуктовая","женский",36,"Незаконченное высшее","False","элементарный","Финансы и банки,eCommerce","13/06/2014 14:20:40","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",10,0.25,"Киев",3000,NA,""
"4463",NA,"Software Engineer","JavaScript","","2","меньше 3 месяцев",1600,0,"Львов","до 1000 человек","Аутсорсинговая","мужской",28,"Высшее","False","средний","Веб-разработка","13/06/2014 14:23:19","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",2,0,"Львов",1600,NA,"DEV"
"4464",NA,"Senior Software Engineer","C++","","4","2",1000,-400,"Луганск","до 50 человек","Продуктовая","мужской",25,"Высшее","False","средний","Desktop Applications,Gamedev","13/06/2014 14:32:37","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",4,2,"other",1000,NA,"DEV"
"4465",NA,"QA Tech Lead","","Manual QA","4","8",2800,100,"Львов","до 1000 человек","Аутсорсинговая","мужской",32,"Высшее","False","выше среднего","Телекоммуникации,Другое","13/06/2014 14:39:01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",4,8,"Львов",2800,NA,"QA"
"4466",NA,"Software Engineer","Java","","2","1.5",1500,500,"Харьков","до 200 человек","Продуктовая","мужской",25,"Высшее","False","средний","Android","13/06/2014 14:40:12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",2,1.5,"Харьков",1500,NA,"DEV"
"4467",NA,"Senior Software Engineer","C#/.NET","","6","1.5",3200,0,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",29,"Высшее","False","продвинутый","Финансы и банки","13/06/2014 14:47:14","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36",6,1.5,"Киев",3200,NA,"DEV"
"4468",NA,"Senior Software Engineer","Java","","7","0.5",2750,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",34,"Два высших","False","выше среднего","Корпоративные системы","13/06/2014 14:50:02","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0",7,0.5,"Киев",2750,NA,"DEV"
"4469",NA,"Дизайнер","","","2","0.25",1800,1100,"Днепр.","до 1000 человек","Другая","мужской",27,"Высшее","False","элементарный","Финансы и банки","13/06/2014 14:51:34","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",2,0.25,"Днепр.",1800,NA,""
"4470",NA,"Technical Lead","Java","","5","4",2500,200,"Харьков","до 200 человек","Аутсорсинговая","мужской",26,"Высшее","False","выше среднего","Android","13/06/2014 14:59:13","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0",5,4,"Харьков",2500,NA,"SDEV"
"4471",NA,"Junior Software Engineer","Java","","1","0.5",800,400,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","выше среднего","Desktop Applications,Финансы и банки","13/06/2014 15:08:40","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)",1,0.5,"Киев",800,NA,"DEV"
"4472",NA,"QA engineer","","General QA","2","1.5",1200,700,"Харьков","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Desktop Applications,Веб-разработка","13/06/2014 15:13:48","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",2,1.5,"Харьков",1200,NA,"QA"
"4473",NA,"Дизайнер","","","3","1.75",950,0,"Днепр.","до 10 человек","Продуктовая","мужской",24,"Высшее","False","средний","Веб-разработка,eCommerce","13/06/2014 15:36:58","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",3,1.75,"Днепр.",950,NA,""
"4474",NA,"Software Engineer","C#/.NET","","10 и более лет","8",2800,300,"Киев","до 50 человек","Продуктовая","мужской",35,"Высшее","False","средний","Desktop Applications,Финансы и банки","13/06/2014 15:45:12","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0",10,8,"Киев",2800,NA,"DEV"
"4475",NA,"Software Engineer","Python","","6","0.5",2000,400,"Харьков","свыше 1000 человек","Продуктовая","мужской",29,"Высшее","False","средний","Веб-разработка","13/06/2014 16:05:46","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0",6,0.5,"Харьков",2000,NA,"DEV"
"4476",NA,"HR","","","6","1",800,200,"Харьков","до 50 человек","Аутсорсинговая","женский",29,"Высшее","False","средний","Android,iOS","13/06/2014 16:06:34","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",6,1,"Харьков",800,NA,""
"4477",NA,"Senior Software Engineer","Java","","5","2.5",3000,500,"Днепр.","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","продвинутый","Финансы и банки,Корпоративные системы","13/06/2014 16:07:54","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",5,2.5,"Днепр.",3000,NA,"DEV"
"4478",NA,"Team lead","","","1.75","меньше 3 месяцев",1200,400,"Киев","до 50 человек","Продуктовая","женский",23,"Высшее","False","выше среднего","Другое","13/06/2014 16:19:48","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0",1.75,0,"Киев",1200,NA,"PM"
"4479",NA,"Sales manager","","","10 и более лет","10 и более лет",500,-600,"Киев","до 50 человек","Другая","мужской",34,"Два высших","False","ниже среднего","Другое","13/06/2014 16:20:08","Mozilla/5.0 (Windows NT 5.1; rv:29.0) Gecko/20100101 Firefox/29.0",10,10,"Киев",500,NA,""
"4480",NA,"Software Engineer","Java","","4","2.5",1500,400,"Харьков","до 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","","13/06/2014 16:20:23","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",4,2.5,"Харьков",1500,NA,"DEV"
"4481",NA,"Senior Software Engineer","PHP","","10 и более лет","1.25",4000,0,"Киев","до 50 человек","Стартап","мужской",26,"Высшее","False","продвинутый","Веб-разработка,Gamedev","13/06/2014 16:39:27","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",10,1.25,"Киев",4000,NA,"DEV"
"4482",NA,"Junior Software Engineer","C#/.NET","","0.75","0.75",450,90,"Киев","до 50 человек","Другая","женский",27,"Высшее","False","средний","Телекоммуникации","13/06/2014 16:45:14","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",0.75,0.75,"Киев",450,NA,"DEV"
"4483",NA,"Junior Software Engineer","PHP","","0.25","0.25",600,600,"Житомир","до 200 человек","Продуктовая","мужской",20,"Незаконченное высшее","True","ниже среднего","Веб-разработка,Корпоративные системы","13/06/2014 16:47:03","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",0.25,0.25,"other",600,NA,"DEV"
"4484",NA,"Дизайнер","","","4","0.75",1400,1400,"Киев","до 50 человек","Продуктовая","мужской",24,"Высшее","False","продвинутый","iOS,Gamedev","13/06/2014 16:52:36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",4,0.75,"Киев",1400,NA,""
"4485",NA,"HR","","","3","0.5",900,200,"Львов","до 50 человек","Аутсорсинговая","женский",30,"Высшее","False","средний","Веб-разработка","13/06/2014 16:58:50","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",3,0.5,"Львов",900,NA,""
"4486",NA,"Senior Software Engineer","C#/.NET","","2","1.5",2500,900,"Львов","до 50 человек","Продуктовая","мужской",22,"Высшее","False","продвинутый","Gamedev","13/06/2014 17:04:37","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",2,1.5,"Львов",2500,NA,"DEV"
"4487",NA,"Дизайнер","","","2","0.5",650,0,"Львов","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","False","выше среднего","Веб-разработка","13/06/2014 17:28:30","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",2,0.5,"Львов",650,NA,""
"4488",NA,"Системный администратор","","","8.5","0.25",2200,1000,"Львов","до 10 человек","Аутстаффинговая","мужской",31,"Высшее","False","выше среднего","Другое","13/06/2014 17:28:37","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0",8.5,0.25,"Львов",2200,NA,"ADM"
"4489",NA,"Support","","","3","1",550,80,"Киев","свыше 1000 человек","Другая","мужской",25,"Высшее","False","средний","Телекоммуникации,Корпоративные системы","13/06/2014 17:37:31","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",3,1,"Киев",550,NA,""
"4490",NA,"Software Engineer","Java","","4","1.25",600,0,"Днепр.","до 1000 человек","Другая","мужской",25,"Высшее","False","средний","Корпоративные системы","13/06/2014 17:40:03","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",4,1.25,"Днепр.",600,NA,"DEV"
"4491",NA,"Project manager","","","4","0.5",2000,500,"Днепр.","до 200 человек","Аутсорсинговая","женский",27,"Высшее","False","продвинутый","","13/06/2014 17:44:17","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",4,0.5,"Днепр.",2000,NA,"PM"
"4492",NA,"Technical Lead","Java","","10 и более лет","2",3850,95,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",30,"Кандидат","False","средний","Android","13/06/2014 17:46:29","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",10,2,"Киев",3850,NA,"SDEV"
"4494",NA,"Software Engineer","PHP","","1.75","1.25",770,100,"Другой","до 50 человек","Продуктовая","мужской",25,"Высшее","False","выше среднего","Веб-разработка","13/06/2014 18:08:13","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",1.75,1.25,"other",770,NA,"DEV"
"4495",NA,"Senior QA engineer","","General QA","3.5","0.75",2200,700,"Киев","до 50 человек","Продуктовая","мужской",24,"Высшее","False","выше среднего","Веб-разработка,eCommerce","13/06/2014 18:09:31","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.67 Safari/537.36",3.5,0.75,"Киев",2200,NA,"QA"
"4496",NA,"QA engineer","","Manual QA","1","1",710,110,"Одесса","до 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","продвинутый","Веб-разработка","13/06/2014 18:17:37","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",1,1,"Одесса",710,NA,"QA"
"4497",NA,"Senior Software Engineer","Ruby/Rails","","3.5","меньше 3 месяцев",6600,3500,"Киев","до 10 человек","Стартап","мужской",27,"Среднее","False","средний","Веб-разработка","13/06/2014 18:21:33","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",3.5,0,"Киев",6600,NA,"DEV"
"4498",NA,"QA engineer","","Manual QA","2","1.5",800,0,"Киев","до 1000 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","True","средний","Desktop Applications,Веб-разработка","13/06/2014 18:40:54","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",2,1.5,"Киев",800,NA,"QA"
"4499",NA,"Junior QA engineer","","Manual QA","1.25","1.25",437,0,"Львов","до 10 человек","Аутсорсинговая","мужской",32,"Техникум / Колледж","False","элементарный","Desktop Applications,Веб-разработка","13/06/2014 19:06:01","Mozilla/5.0 (Windows NT 6.1; rv:30.0) Gecko/20100101 Firefox/30.0",1.25,1.25,"Львов",437,NA,"QA"
"4500",NA,"Senior Software Engineer","JavaScript","","3","2",2500,300,"Киев","до 200 человек","Продуктовая","мужской",32,"Высшее","False","выше среднего","Веб-разработка,eCommerce","13/06/2014 19:49:08","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",3,2,"Киев",2500,NA,"DEV"
"4501",NA,"Software Engineer","Java","","2.5","2.5",485,0,"Черкассы","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Веб-разработка,Мультимедиа","13/06/2014 19:49:52","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",2.5,2.5,"other",485,NA,"DEV"
"4502",NA,"Software Engineer","Python","","1.5","1.5",1500,500,"Киев","до 200 человек","Продуктовая","мужской",22,"Незаконченное высшее","True","средний","Веб-разработка,eCommerce","13/06/2014 20:08:29","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36",1.5,1.5,"Киев",1500,NA,"DEV"
"4503",NA,"Junior Software Engineer","Java","","меньше 3 месяцев","0.75",800,0,"Киев","до 1000 человек","Продуктовая","мужской",25,"Высшее","False","средний","eCommerce,Корпоративные системы","13/06/2014 20:34:54","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0",0,0.75,"Киев",800,NA,"DEV"
"4504",NA,"Junior QA engineer","","Manual QA","2","меньше 3 месяцев",600,0,"Киев","до 10 человек","Продуктовая","мужской",26,"Высшее","False","средний","Android","13/06/2014 20:36:04","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",2,0,"Киев",600,NA,"QA"
"4505",NA,"Senior Software Engineer","C","","10 и более лет","8.5",2600,200,"Харьков","до 50 человек","Продуктовая","мужской",34,"Высшее","False","ниже среднего","Embedded,Телекоммуникации","13/06/2014 20:45:22","Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.17",10,8.5,"Харьков",2600,NA,"DEV"
"4506",NA,"Technical Lead","JavaScript","","8","0.75",2900,400,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","выше среднего","","13/06/2014 20:52:26","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",8,0.75,"Харьков",2900,NA,"SDEV"
"4507",NA,"Системный администратор","","","10 и более лет","2",3000,500,"Львов","до 200 человек","Продуктовая","мужской",33,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","13/06/2014 21:00:37","Mozilla/5.0 (Windows NT 6.1; rv:29.0) Gecko/20100101 Firefox/29.0",10,2,"Львов",3000,NA,"ADM"
"4508",NA,"QA Tech Lead","","Automation QA","10 и более лет","меньше 3 месяцев",3500,200,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",30,"Высшее","False","продвинутый","eCommerce","13/06/2014 21:01:11","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",10,0,"Киев",3500,NA,"QA"
